,Action,Error,New_y_State,Previous_y_State,User_Response
0,south,0,3,2,0
1,north,0,2,3,1
2,north,0,1,2,0
3,north,0,0,1,0
4,south,0,1,0,1
5,south,1,2,1,0
6,north,0,1,2,0
7,south,1,2,1,0
8,south,1,3,2,1
9,north,0,2,3,1
10,south,1,3,2,1
11,south,1,4,3,1
12,north,1,3,4,0
13,south,0,4,3,0
14,north,0,3,4,1
15,north,0,2,3,1
16,south,0,3,2,0
17,north,0,2,3,1
18,north,0,1,2,0
19,south,0,2,1,1
20,south,1,3,2,1
21,north,0,2,3,1
22,south,1,3,2,1
23,south,1,4,3,1
24,north,0,3,4,1
25,south,0,4,3,0
26,north,0,3,4,1
27,north,0,2,3,1
28,south,1,3,2,1
29,north,0,2,3,1
30,south,0,3,2,0
31,north,1,2,3,0
