,Denoised_y_Image,Final_Denoised_y_Image,Maxflow,y_Image
0,"[[1], [1]]","[[0], [1]]",1.0498221245,"[[0], [-1]]"
1,"[[1, 1], [1, 1]]","[[0, 0], [1, 1]]",2.099644249,"[[0, -1], [-1, 1], [2, 3]]"
2,"[[1, 1], [1, 1]]","[[0, 0], [1, 1]]",2.61046987276,"[[0, -1, -1], [0, 1, -1], [2, 3, -1]]"
3,"[[1, 1, 1], [0, 0, 1]]","[[0, 0, 0], [0, 0, 1]]",4.31299413687,"[[-1, 0, -1, -1], [0, 0, 1, -1], [1, 2, 3, -1]]"
4,"[[0, 0, 1, 1], [0, 0, 0, 1]]","[[1, 1, 0, 0], [0, 0, 0, 1]]",5.36281626137,"[[1, -1, 0, -1, -1], [-1, 0, 0, 1, -1], [0, 1, 2, 3, -1]]"
5,"[[0, 0, 1, 1], [0, 0, 0, 1]]","[[1, 1, 0, 0], [0, 0, 0, 1]]",5.02634402475,"[[1, 1, 0, -1, -1, -1], [-1, 0, 0, 1, -1, -1], [0, 1, 2, 3, -1, -1]]"
6,"[[0, 0, 1, 1, 1], [0, 0, 0, 1, 1]]","[[1, 1, 0, 0, 0], [0, 0, 0, 1, 1]]",6.07616614925,"[[1, 1, 0, -1, -1, -1, -1], [-1, 0, 0, 1, 1, -1, -1], [0, 1, 2, 2, 3, -1, -1]]"
7,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1]]","[[1, 1, 1, 0, 0, 0], [0, 0, 0, 0, 1, 1]]",7.12598827375,"[[1, 1, -1, 0, -1, -1, -1, -1], [-1, 0, 0, 0, 1, 1, -1, -1], [0, 1, 1, 2, 2, 3, -1, -1]]"
8,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1]]","[[1, 1, 1, 0, 0, 0], [0, 0, 0, 0, 1, 1]]",6.78951603713,"[[1, 1, -1, 0, 0, -1, -1, -1, -1], [-1, 0, 0, 0, 1, 1, -1, -1, -1], [0, 1, 1, 2, 2, 3, -1, -1, -1]]"
9,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1]]","[[1, 1, 1, 0, 0, 0], [0, 0, 0, 0, 1, 1]]",7.30034166089,"[[1, 1, -1, 0, 0, 0, -1, -1, -1, -1], [-1, 0, 0, 0, 1, 0, -1, -1, -1, -1], [0, 1, 1, 2, 2, 3, -1, -1, -1, -1]]"
10,"[[0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1, 1]]","[[1, 1, 1, 1, 0, 0, 0], [0, 0, 0, 0, 1, 1, 1]]",7.85016378539,"[[1, 1, -1, 1, 0, -1, 0, -1, -1, -1, -1], [-1, 0, 0, 0, 1, 1, 0, -1, -1, -1, -1], [0, 1, 1, 2, 2, 2, 3, -1, -1, -1, -1]]"
